order_id,invoice_id,order_date,ship_date,delivery_date,region,channel,customer_type,customer_id,sales_rep,product_name,product_category,quantity,unit_price,discount_pct,tax_pct,sales_amount,cogs,profit,currency,payment_method,status,notes
MD-2409-00008,INV-969634,27-Sep-24,2024-10-17,2024-11-14,Midwest,Online,Retail Pharmacy,ACCT-3442,N. Ahmed,Thermometer Probe,Accessory,116,4360.27,0,0.000,505791.32,"314,977.66",190813.66,USD,Credit Card,Refunded,
MD-2602-00175,INV-879243,2026-02-25,29-Mar-26,05-01-2026,Midwest,Referral,Lab,ACCT-1602,L. Brown,,Accessory,60,1785.86,0.1,0.08,"109,937.54",38920.77,71016.77,USD,Bank Transfer,Partially Paid,
MD-2508-00074,INV-794178,08-08-2025,"Aug 31, 2025",2025/10/01,West,Referral,Clinic,ACCT-9013,L. Brown,Ultrasound Gel,Consumable,7,1739.650,0.20,0.00,"$9,742.04",4643.6,5098.44,usd,ACH,Partial_y Paid,
MD-2401-00005,INV-392004,01-08-2024,2023/12/31,12/31/2023,Southwest,Channel Partner,Imaging Center,ACCT-2588,T. Garcia,Portable Defibrillator,Capital Equipment,9,4347.15,0.15,$0.00,"33,255.70",18991.9,"14,263.80",eur,Credit Card,Partially Paid,
MD-2407-00150,INV-793193,"Jul 02, 2024",2024/07/14,2024/08/05,West,Channel Partner,,ACCT-8051,M. Rivera,Sterile Drapes,ConsuMable,20.0,1461.58,0.5,$0.00,14615.8,9893.05,4722.75,EUR,Bank Transfer,Refunded,
MD-2406-00273,INV-446057,06-22-2024,07-03-2024,2024-07-21,Southeast,Distributor,Imaging Center,ACCT-5225,P. Singh,Sterile Drapes,Consum-ble,19,4383.32,0.2,0.05,65585.43,30414.47,"35,170.95",USD,Net 30,Pe-ding,
MD-2504-00279,INV-701975,04/28/2025,"Apr 24, 2025",2025-04-24,Southeast,Referral,Government,ACCT-2114,K. Johnson,Sterile Drapes,Consumable,100.0,3518.970,0.00,0.05,369491.85,223031.78,146460.07,php,ACH,,
MD-2502-00253,INV-329583,25-Feb-25,03-10-2025,2025-03-31,Central,Distributor,Clinic,ACCT-6401,,Specimen Container,Consumable,52,1260.23,0.0,0.07,70119.2,39180.316,"30,938.88",gbp,Wire,Overdue,
MD-2601-00221,INV-219125,01-21-2026,2026/02/25,07-Apr-26,Southwest,Distributor,Cl_nic,ACCT-3721,P. Singh,Syringe Pump,,20,,0,0.1,92976.12,67096.18,25879.94,EUR,Invoice,Overdue,
MD-2402-00263,INV-496267,02-02-2024,"Jan 28, 2024",2024-02-01,Midwest,Direct,University,ACCT-6865,L. Brown,Infusion Set,Consumable,61,681.44,0.500,0.07,22238.79,11343.6,10895.2,USD,Bank Transfer,Partially Paid,
MD-2406-00156,INV-575279,06-13-2024,2024-07-15,2024-08-21,East,Dist-ibutor,Clinic,ACCT-3131,P. Singh,Aspirator Unit,Equipment,9,1696.69,0.5,0.09,8322.264,"5,553.01",2769.25,GBP,Credit Card,Charged Back,
MD-2602-00037,INV-347459,02-06-2026,09-Mar-26,12-Apr-26,,Distributor,University,ACCT-3255,N. Ahmed,Syringe Pump,Cap_tal Equipment,19,"$4,075.43",0.25,0.0,-58074.88,23478.45,34596.43,USD,In_oice,Charged Back,
MD-2410-00101,INV-329183,"Oct 21, 2024",14-Oct-24,10/14/2024,West,Referral,Lab,ACCT-6833,J. Patel,Sterile Dra_es,Consumable,10,2667.2,0,0.1,28805.65,13969.74,14835.91,GBP,Bank Transfer,Partially Paid,
MD-2409-00160,INV-211222,09-Sep-24,2023-11-29,2024-10-19,South,Inside Sales,Hospital,ACCT-8423,K. Johnson,Sterile Drapes,Consumable,4,1373.14,0,0.08,5932.0,3029.04,"$2,902.93",USD,,Pending,
MD-2501-00084,INV-861697,2025-01-29,03/02/2025,2025-04-11,Northeast,Channel Partner,Retail Pharmacy,ACCT-3140,E. Davis,,Consumable,84,4254.76,0,0.0,357399.8,145454.58,211945.26,GBP,Check,Pending,
MD-2406-00045,INV-695551,"Jun 29, 2024",2024-06-19,19-Jun-24,Central,Channel Partner,Imaging Center,ACCT-6417,J. Patel,,Diagnostic,24,"4,496.48",0.1,0.0,97123.968,34380.416,62743.55,USD,Bank Transfer,Paid,
MD-2502-00172,INV-399212,02/28/2025,02/17/2025,17-Feb-25,South,Referral,University,ACCT-5882,T. Garcia,Sterile Drapes,Consumable,49,"1,243.37",0.0,0.00,60925.1,35517.2,25407.91,USD,,Charged Back,
MD-2503-00152,INV-411762,"Mar 22, 2025",2025/03/22,03/30/2025,Northwest,Channel Partner,Clinic,ACCT-7997,S. Chen,Pulse Oximeter,Accessory,-20,4083.400,0.05,0.1,448283.82,208011.2,240272.64,GBP,Check,Charged Back,
MD-2406-00072,INV-821942,27-Jun-24,07/30/2024,09/10/2024,North,Inside Sales,Hospital,ACCT-4619,P. Singh,Otoscope Kit,Diagnostic,29,3198.57,0,0.08,-100179.21,48279.77,,PHP,Net 30,Paid,
MD-2507-00003,INV-245051,"Jul 28, 2025",2025/08/19,2025-09-15,North,Distributor,Clinic,ACCT-8668,N. Ahmed,Specimen Container,Consumable,115,2805.96,0.15,0.05,"287,996.72",,63690.45,GBP,Check,Overdue,
MD-2411-00168,INV-397719,11/04/2024,2023/10/14,"Oct 28, 2024",Southwest,,Government,ACCT-7926,N. Ahmed,Compression Sleeve,Accessory,43,"1,879.29",0.00,0.09,88082.322,68398.33,19683.99,GBP,Wire,Pending,
MD-2501-00121,INV-828361,12-Jan-25,24-Jan-25,"Feb 07, 2025",Northeast,Channel Partner,Government,ACCT-5254,N. Ahmed,Specimen Container,Consumable,108,2647.66,0.1,0.08,277940.76,"113,359.44","$164,581.32",USD,Bank Transfer,,
MD-2406-00097,INV-791423,06/30/2024,"Jul 18, 2024","Aug 15, 2024",North,Referral,Hospital,ACCT-8899,T. Garcia,Patient Monitor,Capital Equipment,113,3765.16,0.35,$0.00,276551.0,107874.7,168676.29,php,Check,Refunded,
MD-2505-00116,INV-336540,05/28/2025,02-Jun-25,2025/06/08,East,Referral,Lab,ACCT-7987,L. Brown,Thermometer Probe,Accessory,113,1865.77,0.00,0.09,-229806.90,"174,221.21",55585.68,USD,Check,Partially Paid,
MD-2402-00086,INV-480941,02-25-2024,2024/02/27,2024-03-08,South,Online,Government,ACCT-2741,A. Khan,Sterile Drapes,Consumable,72.0,"3,686.39",0.5,0.08,143326.84,"94,332.42",48994.42,USD,Invoice,Refunded,
MD-2407-00199,INV-523618,07/02/2024,2024-06-23,2024-06-23,West,Channel Partner,Retail Pharmacy,ACCT-2468,E. Davis,Aspirator Unit,Equipment,84,1632.7,0.2,0.1,,71378.5,43822.7,PHP,Check,Charged Back,
MD-2506-00204,INV-746223,06/04/2025,07-08-2025,2025-08-14,Northeast,Distributor,Hospital,ACCT-9577,S. Chen,Glucose Meter,Diagnost_c,64,2477.87,0.35,0.0,103079.39,54049.96,49029.43,USD,Wire,Overdue,
MD-2403-00266,INV-631597,2024/03/25,04-04-2024,2024/04/16,North,Inside Sales,Retail Pharmacy,ACCT-8377,N. Ahmed,Nebulizer Mask,Accessory,103,3875.5,0.000,0.07,"427,119.96",173136.49,253983.47,USD,Check,Paid,manual entry
MD-2402-00031,INV-503159,2024/02/28,"Mar 10, 2024","Mar 26, 2024",North,Referral,Private Practice,ACCT-6626,M. Rivera,Pulse Oximeter,Accessory,83.0,4150.030,0.00,0.090,375453.21,227319.8,148133.44,USD,Check,Charged Back,
MD-2510-00153,INV-584952,10/15/2025,11/06/2025,12/08/2025,Central,Direct,Government,ACCT-5201,P. Singh,,Consumable,120,2722.57,0.000,0.09,"356,112.16",155364.13,,USD,Bank Transfer,,
MD-2409-00285,INV-938621,2024/09/30,09-26-2024,2024-09-28,,ReFerral,Hospital,ACCT-6634,S. Chen,Specimen Container,Consumable,-26,"$3,177.83",0.50,0.0,76267.92,51222.49,25045.43,EUR,ACH,Overdue,
MD-2409-00272,INV-267003,09/04/2024,2024/09/03,09-10-2024,S_uth,Inside Sales,Retail Pharmacy,ACCT-9803,M. Rivera,Aspirator Unit,Equipment,83,544.22,0.5,0.07,,17520.336,6645.75,EUR,Credit Card,Partially Paid,
MD-2405-00227,INV-933868,28-May-24,06/05/2024,"Jun 15, 2024",South,Channel Partner,Clinic,ACCT-8130,K. Johnson,,Capital Equipment,41,3307.54,0.1,0.05,,,54450.47,USD,Net 30,Paid,
MD-2407-00235,INV-920411,2024/07/23,2024-07-30,08/11/2024,Southwest,Referral,Retail Pharmacy,ACCT-8557,,Pulse Oximeter,Accessory,39,2725.2,0.250,0.09,86885.87,37261.01,"$49,624.86",USD,Credit Card,Partially Paid,
MD-2601-00261,INV-898273,"Jan 09, 2026",01/20/2026,02-09-2026,Central,Online,Retail Pharmacy,ACCT-1052,L. Brown,Syringe Pump,Capital Equipment,86,"$1,942.39",$0.00,0.0,"167,045.54",72324.7,94720.81,USD,Net 30,,
MD-2512-00075,INV-641922,"Dec 04, 2025",12-22-2025,"Jan 19, 2026",East,Distributor,Lab,ACCT-7936,M. Rivera,Portable Defibrillator,Capital Equipment,61,1442.9,$0.20,0.000,70413.520,39847.27,30566.25,USD,Check,Paid,
MD-2511-00002,INV-766563,08-Nov-25,11/10/2025,17-Nov-25,Midwest,Referral,Private Practice,ACCT-8573,T. Garcia,Pulse Oximeter,Accessory,110,1126.6,0,0.080,"$133,840.08",62841.75,70998.3,USD,ACH,Pending,
MD-2409-00241,INV-162276,09/26/2024,10/25/2024,"Nov 24, 2024",Midwest,Direct,Hospital,ACCT-7819,P. Singh,Patient Monitor,Capital Equipment,44,2029.7,0.05,0.07,90779.915,66437.47,24342.45,USD,Invoice,Refunded,
MD-2401-00034,INV-129556,28-Jan-24,2024-02-11,02-26-2024,Midwest,Online,Private Practice,ACCT-1086,M. Rivera,Nebulizer Mask,Accessory,65,"$1,802.53",0.200,0.0,93731.560,"$47,916.74",45814.82,USD,Check,RefUnded,
MD-2505-00060,INV-893547,2025-05-22,06-14-2025,2025/07/16,Southwest,Referral,,ACCT-5305,K. Johnson,ECG Lead Set,Accessory,74,558.82,0.35,0.07,28760.789,16769.8,11990.99,USD,Check,Overdue,
MD-2505-00029,INV-416061,05/13/2025,06/03/2025,29-Jun-25,,Referral,Lab,ACCT-6802,M. Rivera,Patient Monitor,Capita_ Equipment,29,1904.520,$0.50,,27615.54,9756.72,17858.82,USD,Invoice,Refunded,
MD-2408-00062,INV-993829,2024/08/04,23-Aug-24,09-16-2024,,,Retail Pharmacy,ACCT-3161,L. Brown,Sterile Drapes,Consumable,107,"1,369.84",0.350,0.09,103846.89,"42,177.99",61668.9,USD,Credit Card,,
MD-2412-00240,INV-473801,"Dec 14, 2024","Dec 13, 2024",12/21/2024,South,Direct,Government,ACCT-1843,,Glucose Meter,Diagnostic,-14,3997.55,0.50,0.08,53966.9,30511.04,23455.9,USD,Credit Card,Partially Paid,
MD-2509-00125,INV-892453,2025/09/02,"Sep 27, 2025",10/30/2025,South,Inside Sales,Imaging Center,ACCT-3354,P. Singh,Otoscope Kit,Diagnostic,40,1603.2,$0.05,$0.09,-66404.96,25484.54,40920.42,GBP,Credit Card,Paid,manual entry
MD-2411-00042,INV-955374,2024-11-02,27-Nov-24,28-Dec-24,South,Referral,Imaging Center,ACCT-4728,A. Khan,Aspirator Unit,Equipment,107,,0.25,$0.09,,102739.20,"111,787.98",EUR,Check,Charged Back,
MD-2504-00279,INV-701975,04/28/2025,"Apr 24, 2025",2025-04-24,Southeast,Referral,Government,ACCT-2114,K. Johnson,Sterile Drapes,Consumable,100.0,3518.970,0.00,0.05,369491.85,223031.78,146460.07,php,ACH,,
MD-2512-00158,INV-739280,2025-12-10,2025-12-23,09-Jan-26,West,Channel Partner,Hospi_al,ACCT-7466,K. Johnson,Neb-lizer Mask,Accessory,91,"$2,038.72",0.5,0.070,99255.08,37857.27,61397.81,USD,ACH,Partially Paid,
MD-2401-00269,INV-765607,"Jan 19, 2024",2023/10/12,"Mar 31, 2024",Northeast,Online,Imaging Center,ACCT-9175,S. Chen,Portable Defibrillator,Capital Equipment,9,2939.3,0.5,$0.08,14285.1,8611.1,5674.00,EUR,Credit Card,Partially Paid,
MD-2403-00026,INV-744986,2024-03-06,03-24-2024,04-19-2024,Southwest,Dire_t,Clinic,ACCT-2204,M. Rivera,Otoscope Kit,Diagnostic,-30,2854.5,0.25,0.1,154012.929,68576.78,"$85,436.15",GBP,Bank Transfer,Refunded,
MD-2509-00054,INV-679902,2025/09/01,2025/09/14,,Northwest,Channel Partner,Clinic,ACCT-3527,T. Garcia,Syrin_e Pump,Capital Equipment,82.0,1320.690,0.2,0.080,,39307.39,"$48,412.84",USD,Credit Card,Paid,refund processed
MD-2406-00198,INV-510059,2024-06-12,"Jun 01, 2024",06-01-2024,Central,Referral,Private Practice,ACCT-1886,L. Brown,Nebulizer Mask,Accessory,44.0,2034.63,0.25,,71842.79,48552.6,23290.2,USD,ACH,Paid,
MD-2603-00049,INV-869038,03-05-2026,24-Feb-26,02/24/2026,Central,Channel Partner,Hospital,ACCT-3869,T. Garcia,Aspirator Unit,Equipment,38,1133.170,0.50,0.07,23037.3,13783.57,"9,253.78",USD,Credit Card,Partially Paid,duplicate review
MD-2602-00109,INV-141406,2026/02/13,02-23-2026,2026/03/13,Southwest,Distributor,University,ACCT-3627,M. Rivera,Blood Pressure Cuff,Accessory,3,3312.13,0.15,0.05,8868.228,4059.87,4808.36,gbp,Bank Transfer,Partially Paid,
MD-2509-00129,INV-427679,"Sep 16, 2025",2025-09-09,09-Sep-25,Southwest,Channel Partner,University,ACCT-5827,L. Brown,Glucose Meter,Diagnostic,-25,3563.2,0.0,0.09,314594.05,218071.01,,USD,Invoice,,
MD-2502-00110,INV-236078,02/23/2025,2025-03-24,04/28/2025,South,Channel Partner,Imaging Center,ACCT-5193,A. Khan,ECG _ead Set,Accessory,13,2517.080,0,0.0,32722.04,23204.28,"$9,517.76",GBP,Credit Card,Pending,
MD-2405-00132,INV-829445,05/02/2024,25-Apr-24,28-Apr-24,Southeast,Inside Sales,Retail Pharmacy,ACCT-6298,L. Brown,Ultrasound Gel,Consumable,49,3154.82,0.500,0.1,81157.74,59673.72,"21,484.02",USD,ACH,Refunded,
MD-2407-00065,INV-865416,07/27/2024,2024-07-24,07/30/2024,South,Channel Partner,Private Practice,ACCT-1185,J. Patel,Sterile Drapes,Consumable,51,2819.86,0,$0.07,153879.76,100088.11,53791.651,USD,Check,Partially Paid,
MD-2511-00078,INV-778818,11/24/2025,"Nov 25, 2025",2025-12-01,West,Online,Government,ACCT-6713,E. Davis,Specimen Container,Consumable,66,108.01,0,0.080,-7698.95,5712.25,1986.70,usd,Net 30,Overdue,
MD-2405-00174,INV-433765,05-23-2024,26-Jun-24,08-08-2024,Central,Online,University,ACCT-6381,A. Khan,Thermometer Probe,ACcessory,113,2080.24,0.5,0.1,128111.58,97581.23,"$30,530.35",php,Credit Card,Partially Paid,
MD-2511-00105,INV-979249,11/01/2025,2025-11-13,2025-11-30,Midwest,Inside Sales,Government,ACCT-9835,J. Patel,Portable Defibrillator,Capital Equipment,32,3543.6,0.2,0.05,"$89,298.72",36295.39,53003.330,,Invoice,,
MD-2508-00203,INV-249600,2025/08/31,"Sep 13, 2025",10-04-2025,CenTral,Inside Sales,University,ACCT-5519,T. Garcia,Ultrasound Gel,Consumable,34,57.47,0.35,0.05,"$1,333.59",843.83,$489.76,USD,Check,Paid,
MD-2509-00212,INV-603762,"Sep 06, 2025",2025/08/25,08/25/2025,Central,Direct,Clinic,ACCT-2680,N. Ahmed,ECG lead Set,Accessory,70,3536.6,0.15,0.0,210427.7,91956.55,118471.2,USD,Net 30,Paid,
MD-2409-00055,INV-617077,09/05/2024,2024-09-29,11/01/2024,Northeast,Direct,Imaging Center,ACCT-2752,J. Patel,Infusion Set,Consumable,88,1834.94,0,0.07,"172,777.95",82844.69,89933.27,USD,ACH,Charged Back,
MD-2511-00151,INV-465823,11-23-2025,"Dec 03, 2025",2025-12-18,Midwest,Online,Lab,ACCT-2391,M. Rivera,Sterile Drapes,Consuma_le,8,146.8,0,0.050,1232.868,875.2,357.68,php,ACH,Overdue,
MD-2404-00265,INV-959613,04-08-2024,04-20-2024,2024/05/05,Northwest,Inside Sales,Hospital,ACCT-4852,K. Johnson,Sterile Dr_pes,Consumable,98.0,"4,490.04",0.200,0.07,376660.48,277278.291,99382.18,EUR,ACH,Partially Paid,
MD-2602-00270,INV-238094,2026/02/22,"Feb 11, 2026",2026-02-11,South,Direct,Private Practice,ACCT-7571,N. Ahmed,Compression Sleeve,Accessory,96,2361.74,0.05,0.08,232621.94,173560.6,59061.362,EUR,Net 30,,
MD-2601-00164,INV-859813,"Jan 24, 2026",02-18-2026,2026/03/25,West,Inside Sales,Government,ACCT-8755,M. Rivera,Compression Sleeve,AccEssory,38,189.2,0.2,0.08,6213.13,3546.1,2667.03,USD,ACH,Charged Back,
MD-2410-00250,INV-890069,2024-10-21,10/26/2024,11-08-2024,Central,,Hospital,ACCT-4197,A. Khan,Wheelchair Scale,Equipment,29,"4,251.05",0.100,0.07,118719.07,92029.41,"$26,689.66",EUR,Invoice,Charged Back,refund processed
MD-2401-00274,INV-278687,13-Jan-24,01-17-2024,01/27/2024,Northwest,Online,Private Practice,ACCT-8929,T- Garcia,Aspirator Unit,Equipment,96,"4,178.67",0.3,0.1,281608.93,,125288.1,GBP,Wire,Refunded,
MD-2603-00013,INV-513160,"Mar 28, 2026","Apr 10, 2026",04-26-2026,North,Inside Sales,University,ACCT-7211,L. Brown,Wheelchair Scale,Equipment,118,623.08,0.5,0.09,40070.27,14489.23,"25,581.04",usd,ACH,Pending,
MD-2505-00012,INV-435239,"May 11, 2025",2025-06-08,07/10/2025,East,Referral,University,ACCT-4388,T. Garcia,,Accessory,57,382.99,0.10,0.050,20629.76,9630.74,10999.0,GBP,ACH,Paid,
MD-2401-00223,INV-933762,2024/01/08,01-19-2024,02/03/2024,North,Dir-ct,Retail Pharmacy,ACCT-4156,P. Singh,Aspirator Unit,Equipment,37,"1,293.31",0.1,0.1,46081.929,"$32,743.43",13338.5,PHP,ACH,Overdue,typo in region
MD-2506-00231,INV-330246,2025-06-26,2025-07-22,2025-08-25,Northwest,Direct,Retail Pharmacy,ACCT-5395,E. Davis,Aspirator Unit,Equipment,56,534.8,0,0.050,31445.06,23972.39,"7,472.67",USD,Net 30,Paid,
MD-2603-00214,INV-621249,"Mar 23, 2026","Apr 20, 2026",2026/05/24,Southwest,Direct,Lab,ACCT-1046,,Ultrasound Gel,Consumable,103,4532.02,0.05,0.08,478934.81,"253,846.77",225088.04,EUR,Invoice,Paid,
MD-2405-00119,INV-311741,2024/05/18,2023/10/04,20-Jun-24,Midwest,Distributor,Clinic,ACCT-2397,N. Ahmed,Sterile Drapes,Consumable,58,131.28,0.25,0.09,6224.64,"4,578.51","1,646.13",USD,Net 30,Overdue,
MD-2402-00236,INV-447401,2024-02-26,2024-03-02,03-09-2024,Northwest,Direct,Imaging Center,ACCT-3535,L. Brown,Sterile Drapes,Consumable,77,478.35,0.1,0.1,36133.12,"$20,127.28",,EUR,Credit Card,Pending,
MD-2604-00023,INV-777737,2026-04-01,11-Apr-26,2026/04/25,North,Direct,Retail Pharmacy,ACCT-9837,K. Johnson,Blood Pressure Cuff,Accessory,80,1212.0,0.00,$0.00,96960.0,"71,601.43",25358.57,PHP,ACH,Overdue,
MD-2503-00277,INV-420218,29-Mar-25,"Apr 07, 2025",2025/04/25,South,Distributor,Private Practice,ACCT-3814,J. Patel,Infusion Set,Consumable,25,3740.86,0.05,0.050,93287.7,44973.64,"48,314.06",USD,Net 30,,
MD-2509-00032,INV-832409,09-09-2025,2025/09/06,09/09/2025,Northwest,Channel Partner,Private Practice,ACCT-9624,M. Rivera,Pulse Oximeter,Accessory,75,3189.4,0.15,0.07,"$217,554.90",166670.88,"$50,884.02",PHP,Credit Card,Partially Paid,
MD-2505-00234,INV-229431,2025-05-13,2025/05/19,27-May-25,North,Di-ect,Private Practice,ACCT-3337,S. Chen,,Equipment,2,2185.070,0.050,0.07,4442.25,3131.57,1310.7,eur,Net 30,Pending,
MD-2412-00021,INV-786587,12/05/2024,2024-11-29,2024/12/01,Central,Referral,Retail Pharmacy,ACCT-8994,N. Ahmed,ECG Lead Set,Accessory,68,4371.19,0,0.050,312102.97,164256.92,"$147,846.04",USD,ACH,Partially Paid,
MD-2512-00140,INV-601736,12-22-2025,"Dec 14, 2025",12-15-2025,West,Online,Retail Pharmacy,ACCT-6656,E. Davis,Blood Pressure Cuff,Accessory,18,4710.23,0.05,0.09,87793.98,35014.85,"$52,779.12",EUR,ACH,Paid,
MD-2603-00169,INV-710658,03/14/2026,16-Apr-26,2026/05/29,South,Inside Sales,Private Practice,ACCT-7050,N. Ahmed,Ultrasound Gel,Consumable,92,1820.26,0.05,0.0,159090.724,"78,109.44",80981.3,EUR,Wire,,
MD-2506-00201,INV-320032,06-30-2025,2025-07-16,08-04-2025,North,Online,Private Practice,ACCT-6882,L. Brown,Gluco-e Meter,Diagnostic,89,1510.34,0.150,0.09,-124540.40,"$72,411.52",52128.85,PHP,Wire,Partially Paid,
MD-2411-00230,INV-504305,2024/11/15,"Dec 18, 2024","Jan 28, 2025",West,Online,Clinic,ACCT-2805,S. CHen,Ultrasound Gel,Consumable,109,2427.60,0.00,0.050,277838.820,206762.04,71076.778,USD,Wire,Pending,
MD-2403-00010,INV-528231,12-Mar-24,2024/04/11,05-17-2024,Central,Referral,Private Practice,ACCT-9977,A. Khan,Sterile Drapes,Consumable,85,4072.3,0.1,0.09,339568.74,164009.12,175559.62,GBP,Invoice,Overdue,
MD-2409-00016,INV-874483,2024/09/14,16-Sep-24,09-20-2024,Northwest,Online,Government,ACCT-1231,N. Ahmed,Blood PresSure Cuff,Accessory,,584.43,0.350,0.05,16353.81,7070.78,9283.04,usd,Credit Card,Pending,
MD-2508-00245,INV-421802,"Aug 07, 2025",08-20-2025,03-Sep-25,Central,Direct,University,ACCT-4569,T- Garcia,Thermometer Probe,Accessory,47,1298.76,0.1,0.09,"59,881.93",21276.4,38605.53,PHP,Wire,Overdue,
MD-2407-00243,INV-785395,07/29/2024,"Aug 17, 2024",11-Sep-24,Midwest,Direct,Imaging Center,ACCT-3246,N. Ahmed,Portable Defibrillator,Capital Equipment,57,3426.48,0.15,0.090,"$180,954.12",86107.7,,EUR,,Refunded,
MD-2406-00202,INV-657286,2024-06-06,06-14-2024,"Jun 29, 2024",Northeast,Online,Lab,ACCT-4640,T. Garcia,Nebulizer Mask,Accessory,4,"$4,627.72",0.05,0.0,17585.34,8197.47,"$9,387.86",usd,ACH,Charged Back,
MD-2510-00079,INV-435109,10-29-2025,11/05/2025,11-16-2025,North,Online,Hospital,ACCT-4111,K. Johnson,Ultrasound Gel,Consumable,67,3677.09,0,0.09,"268,537.88","$140,650.03","127,887.86",GBP,Bank Transfer,Charged Back,
MD-2510-00001,INV-542417,2025-10-16,2025-10-11,2025-10-11,West,Channel Partner,Retail Pharmacy,ACCT-1106,J. Patel,Thermometer Probe,Accessory,-27,1080.73,0,0.09,37695.86,14602.8,23093.1,GBP,Wire,Partially Paid,
MD-2408-00041,INV-108574,2024-08-08,2024/09/02,10/03/2024,Central,ONline,Governme-t,ACCT-2946,J. Patel,Patient Monitor,Capital Equipment,7.0,1359.1,0.5,$0.08,"5,137.51",2429.38,2708.127,GBP,Bank Transfer,Pending,
MD-2512-00190,INV-615524,2025-12-13,01/16/2026,2026-02-23,East,Distributor,Lab,ACCT-8652,L. Brown,Nebulizer Mask,Accessory,67,"1,552.00",0.25,0.0,77988.0,29462.72,48525.283,EUR,Wire,Refu_ded,
MD-2506-00226,INV-931681,"Jun 08, 2025",21-Jun-25,07/08/2025,West,Inside Sales,University,ACCT-8033,S. Chen,Thermometer Probe,Accessory,23,959.4,0.10,0.08,21449.02,8456.16,12992.86,usd,ACH,Paid,
MD-2403-00070,INV-941134,"Mar 03, 2024",2024-02-25,2024/02/25,Midwest,Online,,ACCT-4588,A. Khan,Nebulize- Mask,Accessory,-5,2019.3,0.35,0.05,24807.1,"$15,410.78",9396.32,EUR,Invoice,Pending,
MD-2410-00019,INV-910075,2024/10/22,"Nov 21, 2024",2024-12-28,Southwest,Channel Partner,Imaging Center,ACCT-9998,J. Patel,Compression Sleeve,Accessory,5.0,"2,189.71",0.1,0.1,"$9,957.71",4869.4,5088.31,USD,Bank Transfer,Partially Paid,
MD-2503-00053,INV-825916,"Mar 20, 2025","Nov 07, 2023",,North,Online,Hospital,ACCT-1256,S. Chen,ECG Lead Set,AcCessory,115,2540.83,0.0,0.050,306805.22,135273.29,171531.94,php,Credit Card,Paid,
MD-2508-00066,INV-633541,2025-08-03,2025-08-01,2025-08-05,West,Distributor,Hospital,ACCT-7870,S. Chen,Infusion Set,Consumable,33,"3,714.70",0.5,0.0,61292.55,"$27,472.17",33820.377,USD,Check,Overdue,
